TIME     I(1.660000000e+01,1.100000000e+01,12) Vin(2.520000000e+00,2.190000000e+00) 
2.058970000e-03  6.071430000e-01 3.030300000e-02 
2.068965000e-03  6.071430000e-01 3.030300000e-02 
2.078960000e-03  5.714290000e-01 3.030300000e-02 
2.088955000e-03  6.071430000e-01 3.030300000e-02 
2.098950000e-03  6.071430000e-01 6.060610000e-02 
2.108945000e-03  6.071430000e-01 3.030300000e-02 
2.118940000e-03  6.071430000e-01 3.030300000e-02 
2.128935000e-03  6.071430000e-01 3.030300000e-02 
2.138930000e-03  6.071430000e-01 6.060610000e-02 
2.148925000e-03  6.071430000e-01 3.030300000e-02 
2.158920000e-03  6.071430000e-01 3.030300000e-02 
2.168915000e-03  5.714290000e-01 3.030300000e-02 
2.178910000e-03  6.071430000e-01 3.030300000e-02 
2.188905000e-03  6.071430000e-01 6.060610000e-02 
2.198900000e-03  6.071430000e-01 3.030300000e-02 
2.208895000e-03  6.071430000e-01 3.030300000e-02 
2.218890000e-03  6.071430000e-01 3.030300000e-02 
2.228885000e-03  6.071430000e-01 6.060610000e-02 
2.238880000e-03  6.071430000e-01 3.030300000e-02 
2.248875000e-03  6.071430000e-01 3.030300000e-02 
2.258870000e-03  6.071430000e-01 6.060610000e-02 
2.268865000e-03  6.071430000e-01 3.030300000e-02 
2.278860000e-03  6.071430000e-01 3.030300000e-02 
2.288855000e-03  6.071430000e-01 3.030300000e-02 
2.298850000e-03  6.071430000e-01 3.030300000e-02 
2.308845000e-03  6.071430000e-01 3.030300000e-02 
2.318840000e-03  6.071430000e-01 6.060610000e-02 
2.328835000e-03  6.428570000e-01 6.060610000e-02 
2.338830000e-03  6.071430000e-01 3.030300000e-02 
2.348825000e-03  6.071430000e-01 3.030300000e-02 
2.358820000e-03  6.071430000e-01 3.030300000e-02 
2.368815000e-03  6.071430000e-01 3.030300000e-02 
2.378810000e-03  6.071430000e-01 3.030300000e-02 
2.388805000e-03  6.071430000e-01 3.030300000e-02 
2.398800000e-03  6.071430000e-01 3.030300000e-02 
2.408795000e-03  6.071430000e-01 3.030300000e-02 
2.418790000e-03  6.071430000e-01 3.030300000e-02 
2.428785000e-03  6.071430000e-01 3.030300000e-02 
2.438780000e-03  6.071430000e-01 3.030300000e-02 
